airport_id,iata,icao,name
1,LCG,LECO,A CORUNA
2,\N,7Y7,A R S SPORT STRIP
3,TID,DAOB,A. BOUSSOUF AIN BOUCHEKIF
4,DIR,HADR,A.T.D. YILMA INTL
5,QUN,RKNC,A-306
6,\N,RKSG,A-511 AAF
7,AAL,EKYT,AALBORG
9,AAR,EKAH,AARHUS
10,\N,EKVH,AARS
11,JEG,BGAA,AASIAAT
12,\N,EFAA,AAVAHELUKKA
13,JIM,HAJM,ABA SEGUD
14,\N,FZJF,ABA
15,ABD,OIAA,ABADAN
17,ABA,UNAA,ABAKAN
18,\N,SDLI,ABARE
22,\N,LFOI,ABBEVILLE
23,\N,EIAB,ABBEYSHRULE
24,YXX,CYXX,ABBOTSFORD
25,EAB,OYBS,ABBS
26,MLG,WIAS,ABDULRACHMAN SALEH AERO
27,AEH,FTTC,ABECHE
28,SNU,MUSC,ABEL SANTA MARIA
29,OGO,DIAU,ABENGOUROU
31,ABR,KABR,ABERDEEN REGL
33,\N,KGZS,ABERNATHY
34,\N,EGFA,ABERPORTH
35,AHB,OEAB,ABHA
38,ABI,KABI,ABILENE REGL
39,\N,DIAO,ABOISSO
40,\N,FKAG,ABONG-M'BANG
42,\N,OEBQ,ABQAIQ
43,CJS,MMCS,ABRAHAM GONZALEZ INTL
45,AUH,OMAA,ABU DHABI INTL
46,ABS,HEBL,ABU SIMBEL
47,\N,FZFE,ABUMUMBAZI
48,AEU,OIBA,ABUMUSA
49,\N,SWAB,ABUNA
50,ARA,KARA,ACADIANA REGL
51,\N,SKAD,ACANDI
53,MFV,KMFV,ACCOMACK CO
55,SRG,WIIS,ACHMAD YANI
56,\N,EDXA,ACHMER
59,\N,CEG2,ACME
61,\N,SNUC,ACU
62,ADT,KADH,ADA MUN
64,\N,HAAD,ADABA
65,ADK,PADK,ADAK
67,LIT,KLIT,ADAMS
68,ADA,LTAF,ADANA
69,EKX,KEKX,ADDINGTON
71,ADS,KADS,ADDISON
73,ADL,YPAD,ADELAIDE INTL
74,ADE,OYAA,ADEN INTL
75,SOC,WRSQ,ADI SUMARMO WIRYOKUSUMO
77,SLK,KSLK,ADIRONDACK REGL
78,JOG,WIIJ,ADISUTJIPTO
79,ADF,LTCP,ADIYAMAN
80,ADB,LTBJ,ADNAN MENDERES
82,\N,SNAH,ADUSTINA
83,\N,LIMA,AERITALIA
86,\N,EKAE,AERO
87,\N,SADS,AEROCLUB ARGENTINO
93,QNV,SDNY,AEROCLUB
94,\N,SNAU,AEROCLUB
95,\N,SNJO,AEROCLUB
96,\N,SSAQ,AEROCLUB
97,\N,SWNV,AERODROMO NACIONAL AVIACAO
99,\N,YPEC,AEROPELICAN
100,CWB,SBCT,AFONSO PENA
101,AFO,KAFO,AFTON MUN
102,AFY,LTAH,AFYON AB
103,IXA,VEAT,AGARTALA
104,AGX,VOAT,AGATTI
106,\N,HLAG,AGEDABIA
107,\N,OIAG,AGHAJARI
108,\N,CFD2,AGNES LAKE
109,AGR,VIAG,AGRA AB
110,AJI,LTCO,AGRI
111,AGQ,LGAG,AGRINION AB
117,\N,MMAL,AGUALEGUAS
118,OCV,SKOC,AGUAS CLARAS
119,TMR,DAAT,AGUENAR
120,AGJ,RORA,AGUNI
121,\N,NTHE,AHE
122,AMD,VAAH,AHMEDABAD
123,\N,EFAH,AHMOSUO
124,\N,EDHO,AHRENLOHE
125,AWZ,OIAW,AHWAZ
126,AIK,KAIK,AIKEN MUN
127,\N,EDGA,AILERTCHEN
128,ANW,KANW,AINSWORTH MUN
130,AEO,GQNA,AIOUN-EL-ATROUSS
133,ILN,KILN,AIRBORNE
134,\N,CEF4,AIRDRIE
135,\N,LFDA,AIRE-SUR-L'ADOUR
138,\N,KLVN,AIRLAKE
144,AHL,SYAH,AISHALTON
145,\N,KAIT,AITKIN MUN - KURTZ
146,CMF,LFLB,AIX-LES-BAINS
149,MUK,NCMK,AKATOKA MANAVA
150,\N,RJOE,AKENO AERO
151,\N,FZKN,AKETI
153,\N,LTBT,AKHISAR AB
156,\N,LTAE,AKINCI AB
157,AXT,RJSK,AKITA
158,AJJ,GQNJ,AKJOUJT
159,LAK,CYKD,AKLAVIK
160,\N,HSAK,AKOBO
161,AKD,VAAK,AKOLA
163,\N,DXAK,AKPAKA
164,\N,KAKR,AKRON FULTON INTL
167,CAK,KCAK,AKRON-CANTON REGL
168,AKT,LCRA,AKROTIRI AB
169,SCO,UATE,AKTAU
170,PVK,LGPZ,AKTION AB
171,AKX,UATT,AKTYUBINSK
172,AKV,CYKO,AKULIVIK
173,AKR,DNAK,AKURE
174,AEY,BIAR,AKUREYRI
175,\N,OEAH,AL AHSA
176,AAN,OMAL,AL AIN INTL
177,\N,HEAL,AL ALAMAIN INTL
178,ABT,OEBA,AL BAHA
179,\N,OMAM,AL DHAFRA
180,AJF,OESK,AL JOUF
181,\N,OMRS,AL SAQR FIELD
184,ALM,KALM,ALAMOGORDO-WHITE SANDS REGL
188,\N,EFAL,ALAVUS
189,\N,LEAB,ALBACETE AB
190,NOV,FNHU,ALBANO MACHADO
191,ALB,KALB,ALBANY INTL
195,ALH,YABA,ALBANY
196,\N,OYBD,AL-BAYDA
