booking_id,flight_id,seat,passenger_id,price
10,3863,21A,32301,131.94
20,3863,19H,30718,500.63
30,3863,16H,9053,306.92
40,3863,12B,22260,400.12
50,3863,9C,32130,329.42
60,3863,7G,26979,423.36
70,3863,3C,28045,104.9
80,12143,25C,8259,296.0
90,12143,22H,29970,419.86
100,12143,20E,4950,434.43
110,12143,16B,16542,283.33
120,12143,14B,27381,75.49
130,12143,11B,8257,382.98
140,12143,7D,35488,397.93
150,12143,3A,20767,137.67
160,12153,25C,4390,369.67
170,12153,22C,32315,472.15
180,12153,17H,28863,117.1
190,12153,15H,20629,18.98
200,12153,11E,8954,347.03
210,12153,8G,35347,123.37
220,12153,4A,24266,224.63
230,12153,1F,18897,174.87
240,12157,23D,18085,458.42
250,12157,20C,2351,223.39
260,12157,18F,16236,469.55
270,12157,15F,28128,475.76
280,12157,11B,2188,177.48
290,12157,9E,22383,91.75
300,12157,6B,15525,485.86
310,12157,1H,28763,218.6
320,28412,23B,9473,240.36
330,28412,20A,26661,359.77
340,28412,17G,27278,151.9
350,28412,14D,22511,281.2
360,28412,11H,4432,310.12
370,28412,9D,35588,74.96
380,28412,6D,10274,308.23
390,28412,2H,13634,81.14
400,36702,24C,20380,152.16
410,36702,21C,20353,20.9
420,36702,18D,6944,19.96
430,36702,16H,35245,336.66
440,36702,12G,36031,34.85
450,36702,8F,26780,266.65
460,36702,3F,27399,72.62
470,36708,24A,32729,232.03
490,36708,17E,11910,61.31
500,36708,13C,5857,443.94
510,36708,9D,18695,203.13
520,36708,6B,7185,45.87
530,36708,4F,10332,185.24
540,36712,25B,13269,497.3
550,36712,21E,24345,42.28
560,36712,16D,22383,425.1
570,36712,13F,24620,350.18
580,36712,9E,6895,37.05
590,36712,7A,32018,348.73
600,36712,4H,1346,337.37
610,44821,24E,30606,271.53
620,44821,20B,21804,420.92
630,44821,17E,32901,390.09
640,44821,14C,19288,14.0
650,44821,9B,18607,26.44
660,44821,7H,7366,372.04
670,44821,3B,32525,382.8
680,44830,24E,12240,84.71
700,44830,14E,14159,64.35
710,44830,11C,25111,121.46
720,44830,9D,27031,224.32
730,44830,6E,11786,38.78
740,44830,3B,13165,446.56
750,53083,23F,24107,469.4
760,53083,21G,22189,405.56
770,53083,18D,19765,222.44
780,53083,15D,22514,412.57
790,53083,12B,14155,11.91
800,53083,9F,33255,262.4
810,53083,5C,2151,214.75
820,53083,3A,6293,493.02
