flight_id,flightno,from,to,departure,arrival,airline_id,airplane_id
1,AF1078,9084,2658,2015-06-01 10:15:00,2015-06-01 20:46:00,1,2635
2,AF1377,4478,12595,2015-06-01 23:41:00,2015-06-02 10:05:00,1,2607
3,AF1518,1667,11740,2015-06-01 03:39:00,2015-06-01 11:13:00,1,2566
4,AF1593,602,64,2015-06-01 00:02:00,2015-06-01 16:48:00,1,2565
5,AF1632,12907,3249,2015-06-01 19:44:00,2015-06-02 09:22:00,1,2595
6,AF1748,2024,6521,2015-06-01 08:31:00,2015-06-01 19:51:00,1,2615
7,AF1837,6626,9895,2015-06-01 07:24:00,2015-06-01 18:51:00,1,2604
8,AF1908,5566,8387,2015-06-01 05:47:00,2015-06-01 17:05:00,1,2580
9,AF2227,7545,982,2015-06-01 05:00:00,2015-06-01 18:19:00,1,2565
10,AF3068,8623,1510,2015-06-01 06:00:00,2015-06-01 23:59:00,1,2598
11,AF3226,1040,6880,2015-06-01 16:14:00,2015-06-02 06:43:00,1,2635
12,AF3230,4088,10773,2015-06-01 07:38:00,2015-06-01 19:38:00,1,2591
13,AF3256,3845,10432,2015-06-01 13:22:00,2015-06-02 05:32:00,1,2591
14,AF3430,9290,5924,2015-06-01 02:58:00,2015-06-01 15:04:00,1,2614
15,AF3676,9603,1121,2015-06-01 20:30:00,2015-06-02 07:00:00,1,2597
16,AF3985,10749,6709,2015-06-01 22:33:00,2015-06-02 15:43:00,1,2566
17,AF4041,7556,13159,2015-06-01 09:23:00,2015-06-01 10:44:00,1,2621
18,AF4056,13045,3305,2015-06-01 09:35:00,2015-06-02 04:49:00,1,2565
19,AF4126,7425,4877,2015-06-01 20:42:00,2015-06-02 10:27:00,1,2635
20,AF4264,13218,8436,2015-06-01 04:11:00,2015-06-01 22:44:00,1,2595
21,AF4288,12548,6575,2015-06-01 18:31:00,2015-06-02 08:36:00,1,2600
22,AF4429,7876,10227,2015-06-01 00:11:00,2015-06-01 03:53:00,1,2599
23,AF4531,3593,3261,2015-06-01 23:52:00,2015-06-02 10:57:00,1,2572
24,AF4599,9338,9111,2015-06-01 09:37:00,2015-06-01 23:03:00,1,2613
25,AF4641,1749,1063,2015-06-01 05:01:00,2015-06-01 09:50:00,1,2579
26,AF5143,10141,9049,2015-06-01 21:07:00,2015-06-02 12:48:00,1,2635
27,AF5320,3779,481,2015-06-01 06:11:00,2015-06-01 18:31:00,1,2626
