flightno,from,to,departure,arrival,airline_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
AF1078,9084,2658,10:15:00,20:46:00,1,1,1,1,1,0,1,0
AF1289,3574,260,02:52:00,11:31:00,1,0,1,1,1,1,1,0
AF1294,3663,8341,19:26:00,07:29:00,1,0,0,1,0,1,0,1
AF1363,5037,8335,21:32:00,23:32:00,1,0,1,0,0,1,1,0
AF1377,4478,12595,23:41:00,10:05:00,1,1,0,1,1,1,1,0
AF1389,7800,11215,22:27:00,11:43:00,1,0,1,1,1,0,0,0
AF1419,5596,12110,11:40:00,21:51:00,1,0,0,1,0,0,0,0
AF1427,7760,8190,20:31:00,06:42:00,1,0,1,1,1,1,1,0
AF1475,13494,5340,17:35:00,03:37:00,1,0,0,1,1,1,0,1
AF1518,1667,11740,03:39:00,11:13:00,1,1,0,1,0,0,0,1
AF1538,7058,6458,23:38:00,05:23:00,1,0,1,1,0,0,1,1
AF1593,602,64,00:02:00,16:48:00,1,1,1,1,0,1,1,1
AF1632,12907,3249,19:44:00,09:22:00,1,1,1,1,0,1,0,1
AF1695,9575,10016,13:17:00,19:07:00,1,0,0,1,0,1,1,1
AF1748,2024,6521,08:31:00,19:51:00,1,1,0,1,1,1,1,0
AF1837,6626,9895,07:24:00,18:51:00,1,1,1,0,1,1,0,0
AF1908,5566,8387,05:47:00,17:05:00,1,1,1,0,1,0,1,0
AF2098,8880,6039,22:32:00,01:41:00,1,0,1,0,0,0,1,1
AF2210,7782,12362,22:45:00,23:13:00,1,0,0,0,0,1,0,0
AF2227,7545,982,05:00:00,18:19:00,1,1,1,1,1,0,0,0
AF2299,9826,2428,04:07:00,11:18:00,1,0,0,1,0,0,1,1
AF2604,11776,3062,09:34:00,17:06:00,1,0,1,0,0,0,1,0
AF3068,8623,1510,06:00:00,23:59:00,1,1,0,1,0,0,1,1
AF3076,4728,2695,16:05:00,23:12:00,1,0,1,0,0,1,0,0
AF3155,7068,4202,00:28:00,08:53:00,1,0,0,0,0,1,0,0
AF3226,1040,6880,16:14:00,06:43:00,1,1,0,1,1,0,0,0
AF3230,4088,10773,07:38:00,19:38:00,1,1,1,0,1,1,0,1
AF3256,3845,10432,13:22:00,05:32:00,1,1,1,1,1,0,0,0
