airplane_id,capacity,type_identifier,affected_date,expiry_date,iscurrent
715,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2783,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3105,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3244,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3450,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3469,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3599,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
250,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1562,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1605,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2151,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2536,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2571,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2840,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3202,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3752,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3770,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3954,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4297,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
210,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1811,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1835,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2216,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2405,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2642,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2644,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2675,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3322,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3614,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3876,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4224,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4785,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4830,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5077,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5493,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
953,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1734,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2397,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2782,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3251,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3944,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4993,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5154,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
246,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
883,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1248,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1512,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2287,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3296,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4921,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5104,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5580,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
14,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
87,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1546,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1656,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2284,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2612,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2661,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3866,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4832,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5393,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
359,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1334,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1416,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1575,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2746,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3096,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3301,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3541,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5506,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1606,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1842,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2185,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2403,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4019,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4362,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4611,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
423,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1374,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1876,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2260,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2439,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4183,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4702,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4751,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5013,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
462,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1047,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1078,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1303,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1680,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3194,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4011,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4044,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4201,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2844,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3921,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4111,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4164,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4490,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
409,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
876,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2651,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3077,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5541,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
235,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
561,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
631,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1031,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1252,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3008,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3249,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4176,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4580,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4829,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4874,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5163,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5219,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
253,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
383,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1658,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1662,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2240,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3331,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4007,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4476,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4923,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4937,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
327,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
405,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
878,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
885,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1386,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3275,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5210,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1155,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2018,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2606,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2725,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3434,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4225,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5018,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
333,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
557,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1097,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1382,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1798,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3730,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3854,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3892,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3909,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4014,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4155,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4524,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1451,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1697,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1986,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3451,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3659,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4567,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
892,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
986,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1854,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3387,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3437,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3474,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3610,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4452,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4687,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5299,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1975,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2065,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3800,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4615,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5464,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5579,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
243,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
647,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1146,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1220,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1807,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2415,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2791,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4060,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4557,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4909,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
123,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1372,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3232,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4865,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4911,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
930,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1394,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2144,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2331,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2748,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2990,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4431,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4756,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4867,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5056,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5417,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1178,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2641,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2954,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1090,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2083,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2352,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2427,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2764,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4180,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5002,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5111,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
615,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1134,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1610,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2101,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2860,50,Embraer-ERJ-145-Familie,2030-12-31T15:04:58,2031-12-31T15:04:58,1
