airport_id,airport_iata,airport_icao,airport_name,airport_city,airport_country,latitude,longitude,affected_date,expiry_date,iscurrent
8534,NDJ,FTTJ,N'DJAMENA,N'DJAMENA,CHAD,12.125,15.024722,2030-12-31T15:04:58,2031-12-31T15:04:58,1
27,AEH,FTTC,ABECHE,ABECHE,CHAD,13.847222,20.848889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
638,ATV,FTTI,ATI,ATI,CHAD,13.233333,18.316667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1137,OTC,FTTL,BERIM,BOL,CHAD,13.45,14.733333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1353,BKR,FTTK,BOKORO,BOKORO,CHAD,12.383333,17.066667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6557,LTC,FTTH,LAI,LAI,CHAD,9.4,16.3,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8114,MVO,FTTM,MONGO,MONGO,CHAD,12.166667,18.683333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
369,AMC,FTTN,AM-TIMAN,AM-TIMAN,CHAD,11.033333,20.283333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8294,MQQ,FTTD,MOUNDOU,MOUNDOU,CHAD,8.62,16.068333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7461,AMO,FTTU,MAO,MAO,CHAD,14.133333,15.316667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1457,OUT,FTTS,BOUSSO,BOUSSO,CHAD,10.483333,16.716667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3804,FYT,FTTY,FAYA LARGEAU,FAYA LARGEAU,CHAD,17.916111,19.108889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1377,OGR,FTTB,BONGOR,BONGOR,CHAD,10.283333,15.383333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9217,PLF,FTTP,PALA,PALA,CHAD,9.383333,14.933333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10863,SRH,FTTA,SARH,SARH,CHAD,9.151111,18.379444,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13585,\N,FTTR,ZOUAR,ZOUAR,CHAD,20.45,16.583333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4499,\N,FTTG,GOZ-BEIDA,GOZ-BEIDA,CHAD,12.2,21.466667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13586,\N,FTTZ,ZOUGRA,BARDAI,CHAD,21.45,17.05,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3728,\N,FTTF,FADA,FADA,CHAD,17.166667,21.566667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1215,\N,FTTE,BILTINE,BILTINE,CHAD,14.516667,20.9,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5393,CMW,MUCM,IGNACIO AGRAMONTE INTL,CAMAGUEY,CUBA,21.420278,-77.8475,2030-12-31T15:04:58,2031-12-31T15:04:58,1
12845,CYO,MUCL,VILO ACUNA,CAYO LARGO DEL SUR,CUBA,21.616111,-81.545556,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1960,BYM,MUBY,CARLOS M. CESPEDES,BAYAMO,CUBA,20.397222,-76.619167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11219,MZO,MUMZ,SIERRA MAESTRA,MANZANILLO,CUBA,20.288056,-77.089167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
448,SCU,MUCU,ANTONIO MACEO INTL,SANTIAGO DE CUBA,CUBA,19.97,-75.835556,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5772,HAV,MUHA,JOSE MARTI INTL,HAVANA,CUBA,22.989167,-82.409167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5779,VRA,MUVR,JUAN G. GOMEZ INTL,VARADERO,CUBA,23.034444,-81.435278,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5624,CFG,MUCF,JAIME GONZALEZ,CIENFUEGOS,CUBA,22.15,-80.414167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6445,LCL,MULM,LA COLOMA,PINAR DEL RIO,CUBA,22.335278,-83.6425,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10688,SNJ,MUSJ,SAN JULIAN,PINAR DEL RIO,CUBA,22.095278,-84.152222,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5071,VTU,MUVT,HERMANOS AMEIJEIRAS,LAS TUNAS,CUBA,20.987222,-76.935833,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7674,AVI,MUCA,MAXIMO GOMEZ INTL,CIEGO DE AVILA,CUBA,22.026944,-78.789444,2030-12-31T15:04:58,2031-12-31T15:04:58,1
