booking_id,seat
302660,1A
522900,1A
21420,1A
64130,1A
156860,1A
753470,1A
2070,1A
23010,1A
1550,1A
177880,1A
273430,1A
25120,1A
700520,1A
41020,1A
106260,1A
49400,1A
109780,1A
310480,1A
395770,1A
456130,1A
768320,1A
331030,1A
234620,1A
444490,1A
456760,1A
680170,1A
416790,1A
236210,1A
521910,1A
595760,1A
112760,1A
155730,1A
393700,1A
399990,1A
717350,1A
301810,1A
1340,1A
78080,1A
251170,1A
303410,1A
426940,1A
653080,1A
81910,1A
309080,1A
592450,1A
602170,1A
114510,1A
240500,1A
501480,1A
702630,1A
24300,1A
150180,1A
621650,1A
37270,1A
96480,1A
310860,1A
421250,1A
65490,1A
110780,1A
120370,1A
236440,1A
314340,1A
176270,1A
700810,1A
97680,1A
397350,1A
649940,1A
174640,1A
362080,1A
410810,1A
722740,1A
120440,1A
697920,1A
734450,1A
595650,1A
42780,1A
120220,1A
423570,1A
667990,1A
478090,1A
74390,1A
232070,1A
102960,1A
103650,1A
121190,1A
271750,1A
325970,1A
341430,1A
597320,1A
677230,1A
747950,1A
4740,1A
119370,1A
310320,1A
596640,1A
5180,1A
64940,1A
595040,1A
319230,1A
426710,1A
655170,1A
126460,1A
410570,1A
417690,1A
76900,1B
417060,1B
441900,1B
600460,1B
602500,1B
126010,1B
576170,1B
8220,1B
95820,1B
303470,1B
533920,1B
79760,1B
138780,1B
310390,1B
302600,1B
2300,1B
33770,1B
235090,1B
615000,1B
250350,1B
315600,1B
313380,1B
103700,1B
124890,1B
409990,1B
362850,1B
440590,1B
328460,1B
326720,1B
137630,1B
343330,1B
395000,1B
417100,1B
17700,1B
698700,1B
96200,1B
96100,1B
299940,1B
546980,1B
387890,1B
396170,1B
484230,1B
545970,1B
83900,1B
119710,1B
192620,1B
235040,1B
611120,1B
320150,1B
118740,1B
536500,1B
244010,1B
411820,1B
667170,1C
752810,1C
305350,1C
399240,1C
446460,1C
612480,1C
21050,1C
143660,1C
230260,1C
417270,1C
426420,1C
230230,1C
579390,1C
645670,1C
112030,1C
316550,1C
421630,1C
110390,1C
980,1C
231340,1C
417650,1C
419020,1C
94450,1C
240330,1C
445470,1C
475880,1C
114280,1C
119610,1C
138000,1C
340480,1C
341040,1C
439930,1C
1120,1C
94690,1C
25220,1C
231370,1C
360050,1C
523550,1C
725980,1C
103190,1C
278690,1C
309470,1C
417440,1C
63610,1C
249020,1C
409680,1C
437390,1C
602850,1C
633430,1C
236290,1C
305520,1C
422000,1C
3470,1C
103000,1C
156680,1C
173020,1C
231270,1C
494910,1C
9600,1C
105470,1C
22610,1C
478020,1C
198070,1C
366900,1C
41410,1C
234700,1C
318910,1C
234540,1C
386530,1C
482330,1C
698480,1C
149020,1C
315890,1C
304690,1C
477550,1C
51090,1C
104830,1C
236630,1C
18330,1C
309110,1C
910,1C
112190,1C
136860,1C
301150,1C
421180,1C
8300,1C
496600,1C
5760,1C
133580,1C
279710,1C
305460,1C
335740,1C
363040,1C
645310,1C
327860,1C
63850,1C
301920,1C
140240,1C
231720,1C
602370,1C
36480,1C
230440,1C
231700,1C
308920,1C
63090,1C
310250,1C
537500,1C
602660,1C
634140,1C
124650,1D
244670,1D
579590,1D
701570,1D
95040,1D
151920,1D
282610,1D
333290,1D
481900,1D
677660,1D
17910,1D
232280,1D
64530,1D
312640,1D
594320,1D
636120,1D
579020,1D
594100,1D
316930,1D
336690,1D
726310,1D
113250,1D
189430,1D
18840,1D
314820,1D
305230,1D
617730,1D
425830,1D
592960,1D
118570,1D
574440,1D
134950,1D
95650,1D
105720,1D
120560,1D
82570,1D
368910,1D
416470,1D
646040,1D
80080,1D
117650,1D
424850,1D
644020,1D
31640,1D
93630,1D
103500,1D
110180,1D
396350,1D
601090,1D
119210,1D
232360,1D
308890,1D
318700,1D
417150,1D
432300,1D
102680,1D
151520,1D
235250,1D
712480,1D
126370,1D
424620,1D
109730,1D
232230,1D
334640,1D
22510,1D
64230,1D
65560,1D
73910,1D
95990,1D
118790,1D
230790,1D
63580,1D
433870,1D
601330,1D
145200,1D
231820,1D
418060,1D
3250,1D
253430,1D
487700,1D
529720,1D
760270,1D
16800,1D
64970,1D
121110,1D
304750,1D
309180,1D
390160,1D
601910,1D
16890,1D
254750,1D
300380,1D
368550,1D
644390,1D
119570,1D
273020,1D
284080,1D
373830,1D
636050,1D
360810,1D
396950,1D
635820,1D
620980,1D
181720,1D
288850,1D
318470,1D
389580,1D
595820,1D
611820,1D
76410,1D
113190,1D
119130,1D
201630,1D
46050,1D
235170,1D
301370,1D
671560,1D
119290,1D
372110,1D
416180,1D
234600,1D
601530,1D
609080,1D
698860,1D
33990,1D
235490,1D
600260,1D
634250,1D
722420,1D
22710,1D
30680,1D
92560,1D
146900,1D
95530,1D
198710,1D
366340,1D
367430,1D
24210,1D
249340,1D
635920,1D
64670,1D
230940,1D
597660,1D
234970,1D
120060,1D
368740,1D
596170,1D
766070,1D
121440,1D
388830,1D
19140,1D
336500,1D
96960,1D
602060,1D
7930,1D
197080,1D
250190,1D
530350,1D
104750,1E
117430,1E
191340,1E
105270,1E
310530,1E
400560,1E
636240,1E
698240,1E
388630,1E
118910,1E
250670,1E
602700,1E
670060,1E
133770,1E
174310,1E
44120,1E
93860,1E
288230,1E
304300,1E
178530,1E
317440,1E
64310,1E
416710,1E
234670,1E
303840,1E
593250,1E
723710,1E
121310,1E
370210,1E
633390,1E
106210,1E
319750,1E
715400,1E
45270,1E
112370,1E
137830,1E
304350,1E
305400,1E
571640,1E
633230,1E
654200,1E
701860,1E
83740,1E
96150,1E
360240,1E
451980,1E
2440,1E
522270,1E
667390,1E
496410,1E
127410,1E
330840,1E
80750,1E
441580,1E
484650,1E
642090,1E
748580,1E
64490,1E
80580,1E
97500,1E
230740,1E
300450,1E
534880,1E
239990,1E
301760,1E
390890,1E
392740,1E
477590,1E
109490,1E
301430,1E
618980,1E
633830,1E
635890,1E
65290,1E
424930,1E
597210,1E
634900,1E
697350,1E
699530,1E
15130,1E
65410,1E
101990,1E
231390,1E
333490,1E
491110,1E
499820,1E
68430,1E
135340,1E
1780,1E
114680,1E
249690,1E
325770,1E
519080,1E
622000,1E
37470,1E
201280,1E
125830,1E
188130,1E
22110,1E
570480,1E
765430,1E
63230,1E
94160,1E
119050,1E
635520,1E
636010,1E
641910,1E
750560,1E
385610,1E
137240,1E
387310,1E
415540,1E
596120,1E
703110,1E
718940,1E
302420,1E
372870,1E
481230,1E
609430,1E
310680,1E
541060,1E
645860,1E
701420,1E
50520,1E
135920,1E
711220,1E
35150,1E
156100,1E
1190,1E
4190,1E
16220,1E
127460,1E
236510,1E
128730,1E
359460,1E
727240,1E
4120,1E
140990,1E
303130,1E
412820,1E
701200,1E
101850,1E
634560,1E
109440,1E
232340,1E
595540,1E
234320,1E
410730,1E
106160,1E
364030,1E
424380,1E
93020,1E
121610,1E
126220,1E
416750,1E
571850,1E
653830,1E
92790,1E
342370,1E
47950,1E
317240,1E
330100,1E
412250,1E
483410,1E
498760,1E
234370,1E
395390,1E
419180,1E
98190,1E
22420,1F
423260,1F
37070,1F
302950,1F
576740,1F
596800,1F
600850,1F
648110,1F
6730,1F
93510,1F
96370,1F
105780,1F
258240,1F
102240,1F
136490,1F
647730,1F
113810,1F
44520,1F
183040,1F
205780,1F
595320,1F
139160,1F
146130,1F
633190,1F
699980,1F
18950,1F
309520,1F
580710,1F
722110,1F
125300,1F
