booking_ID,from_airport_id,to_airport_id,airline_id,airplane_id,flight_id,departure_date_id,arrival_date_id,passenger_id,Price,capacity
1190,11642,6819,89,1,77578,16596,16596,23161,219.66,150
1180,11642,6819,89,1,77578,16596,16596,1310,479.65,150
1140,11642,6819,89,1,77578,16596,16596,11798,59.04,150
1170,11642,6819,89,1,77578,16596,16596,24149,392.94,150
1160,11642,6819,89,1,77578,16596,16596,1917,251.9,150
1130,11642,6819,89,1,77578,16596,16596,9804,194.26,150
1150,11642,6819,89,1,77578,16596,16596,21108,71.13,150
1250,509,6131,89,1,77585,16596,16597,27181,199.59,150
1240,509,6131,89,1,77585,16596,16597,35962,215.26,150
1260,509,6131,89,1,77585,16596,16597,8383,317.46,150
1220,509,6131,89,1,77585,16596,16597,25031,25.22,150
1210,509,6131,89,1,77585,16596,16597,3329,335.48,150
1200,509,6131,89,1,77585,16596,16597,11165,329.98,150
1230,509,6131,89,1,77585,16596,16597,12514,461.89,150
840,7512,1653,89,1,61201,16594,16594,18086,394.25,150
910,7512,1653,89,1,61201,16594,16594,21937,227.93,150
890,7512,1653,89,1,61201,16594,16594,807,399.77,150
880,7512,1653,89,1,61201,16594,16594,6497,132.51,150
830,7512,1653,89,1,61201,16594,16594,20721,493.38,150
870,7512,1653,89,1,61201,16594,16594,17757,5.9,150
860,7512,1653,89,1,61201,16594,16594,13886,107.74,150
900,7512,1653,89,1,61201,16594,16594,5049,32.09,150
850,7512,1653,89,1,61201,16594,16594,21751,174.8,150
610,9565,7814,89,1,44821,16592,16592,30606,271.53,150
640,9565,7814,89,1,44821,16592,16592,19288,14,150
620,9565,7814,89,1,44821,16592,16592,21804,420.92,150
630,9565,7814,89,1,44821,16592,16592,32901,390.09,150
650,9565,7814,89,1,44821,16592,16592,18607,26.44,150
660,9565,7814,89,1,44821,16592,16592,7366,372.04,150
670,9565,7814,89,1,44821,16592,16592,32525,382.8,150
10,10121,9471,89,1,3863,16587,16588,32301,131.94,150
40,10121,9471,89,1,3863,16587,16588,22260,400.12,150
70,10121,9471,89,1,3863,16587,16588,28045,104.9,150
20,10121,9471,89,1,3863,16587,16588,30718,500.63,150
30,10121,9471,89,1,3863,16587,16588,9053,306.92,150
50,10121,9471,89,1,3863,16587,16588,32130,329.42,150
60,10121,9471,89,1,3863,16587,16588,26979,423.36,150
950,9157,5428,89,1,61207,16594,16595,2095,7.62,150
980,9157,5428,89,1,61207,16594,16595,33287,71.53,150
940,9157,5428,89,1,61207,16594,16595,7913,313.85,150
930,9157,5428,89,1,61207,16594,16595,13921,73.29,150
920,9157,5428,89,1,61207,16594,16595,3479,404.69,150
960,9157,5428,89,1,61207,16594,16595,26045,442.39,150
700,1756,86,89,1,44830,16592,16593,14159,64.35,150
710,1756,86,89,1,44830,16592,16593,25111,121.46,150
680,1756,86,89,1,44830,16592,16593,12240,84.71,150
730,1756,86,89,1,44830,16592,16593,11786,38.78,150
720,1756,86,89,1,44830,16592,16593,27031,224.32,150
740,1756,86,89,1,44830,16592,16593,13165,446.56,150
790,8704,1774,89,1,53083,16593,16593,14155,11.91,150
820,8704,1774,89,1,53083,16593,16593,6293,493.02,150
780,8704,1774,89,1,53083,16593,16593,22514,412.57,150
810,8704,1774,89,1,53083,16593,16593,2151,214.75,150
770,8704,1774,89,1,53083,16593,16593,19765,222.44,150
800,8704,1774,89,1,53083,16593,16593,33255,262.4,150
760,8704,1774,89,1,53083,16593,16593,22189,405.56,150
750,8704,1774,89,1,53083,16593,16593,24107,469.4,150
430,11071,8207,89,1,36702,16591,16591,35245,336.66,150
410,11071,8207,89,1,36702,16591,16591,20353,20.9,150
450,11071,8207,89,1,36702,16591,16591,26780,266.65,150
420,11071,8207,89,1,36702,16591,16591,6944,19.96,150
400,11071,8207,89,1,36702,16591,16591,20380,152.16,150
460,11071,8207,89,1,36702,16591,16591,27399,72.62,150
440,11071,8207,89,1,36702,16591,16591,36031,34.85,150
500,1799,7267,89,1,36708,16591,16592,5857,443.94,150
490,1799,7267,89,1,36708,16591,16592,11910,61.31,150
520,1799,7267,89,1,36708,16591,16592,7185,45.87,150
530,1799,7267,89,1,36708,16591,16592,10332,185.24,150
510,1799,7267,89,1,36708,16591,16592,18695,203.13,150
470,1799,7267,89,1,36708,16591,16592,32729,232.03,150
570,13369,11908,89,1,36712,16591,16591,24620,350.18,150
550,13369,11908,89,1,36712,16591,16591,24345,42.28,150
590,13369,11908,89,1,36712,16591,16591,32018,348.73,150
580,13369,11908,89,1,36712,16591,16591,6895,37.05,150
560,13369,11908,89,1,36712,16591,16591,22383,425.1,150
600,13369,11908,89,1,36712,16591,16591,1346,337.37,150
540,13369,11908,89,1,36712,16591,16591,13269,497.3,150
120,4936,8079,89,1,12143,16588,16588,27381,75.49,150
140,4936,8079,89,1,12143,16588,16588,35488,397.93,150
110,4936,8079,89,1,12143,16588,16588,16542,283.33,150
100,4936,8079,89,1,12143,16588,16588,4950,434.43,150
150,4936,8079,89,1,12143,16588,16588,20767,137.67,150
130,4936,8079,89,1,12143,16588,16588,8257,382.98,150
90,4936,8079,89,1,12143,16588,16588,29970,419.86,150
80,4936,8079,89,1,12143,16588,16588,8259,296,150
990,4843,8970,89,1,69495,16595,16595,22056,482.42,150
1010,4843,8970,89,1,69495,16595,16595,10502,29.6,150
1030,4843,8970,89,1,69495,16595,16595,2977,205.87,150
1040,4843,8970,89,1,69495,16595,16595,23659,178.74,150
1020,4843,8970,89,1,69495,16595,16595,33209,39.6,150
1000,4843,8970,89,1,69495,16595,16595,20501,378.83,150
200,11642,6819,89,1,12153,16588,16588,8954,347.03,150
190,11642,6819,89,1,12153,16588,16588,20629,18.98,150
230,11642,6819,89,1,12153,16588,16588,18897,174.87,150
180,11642,6819,89,1,12153,16588,16588,28863,117.1,150
210,11642,6819,89,1,12153,16588,16588,35347,123.37,150
220,11642,6819,89,1,12153,16588,16588,24266,224.63,150
170,11642,6819,89,1,12153,16588,16588,32315,472.15,150
160,11642,6819,89,1,12153,16588,16588,4390,369.67,150
250,11234,6984,89,1,12157,16588,16588,2351,223.39,150
310,11234,6984,89,1,12157,16588,16588,28763,218.6,150
300,11234,6984,89,1,12157,16588,16588,15525,485.86,150
