type_id,identifier,description
1,Concorde,
2,Tupolew Tu-144,
3,Ultraleichtflugzeug,
4,Flugboot,
5,Dornier Do X,
6,Airbus A380,
7,Airbus A310,
8,Bristol Brabazon,
9,Boeing B-377,
10,Antonow An-225,
11,Antonow An-124,
12,ATR 42,
13,ATR 72,
14,Douglas DC-3,
15,Saab 340,
16,Saab 2000,
17,Junkers F 13,
18,Airbus A330,
19,Fokker 50,
20,Airbus A340,
21,Boeing 747,
22,Iljuschin Il-86,
23,Boeing 787,
24,Junkers W 33,
25,Boeing B-307,
26,Junkers W 34,
27,Junkers G 38,
28,Junkers Ju 46,
29,Junkers J 15,
30,Junkers A 20,
31,Lockheed L-188,
32,Junkers S 36,
33,Junkers Ju 52/3m,
34,Lockheed L-1011,
35,Antonow An-2,
36,Cessna 172,
37,Boeing 757,
38,Boeing 767,
39,Boeing 717,
40,Fokker 70,
41,Fokker 100,
42,Learjet 31,
43,Learjet 40,
44,Dornier 328,
45,Tupolew Tu-154,
46,HFB 320,
47,Embraer EMB 120,
48,Douglas DC-9,
49,Learjet,
50,Learjet 23,
51,Learjet 24,
52,Learjet 25,
53,Learjet 28,
54,Learjet 29,
55,Learjet 35,
56,Learjet 36,
57,De Havilland D.H.88,
58,Cessna 170,
59,Boeing 707,
60,McDonnell Douglas DC-10,
61,Learjet 45,
62,VFW 614,
63,SAI KZ I,
64,Piper PA-42,
65,Adam A700,
66,Boeing 727,
67,Bohemia B-5,
68,Blackburn B-2,
69,DG-800,
70,Douglas DC-8,
71,Rolladen Schneider LS8,
72,Douglas DC-4,
73,Antonow An-22,
74,Tupolew Tu-104,
75,Bombardier Q Series,
76,Cessna 140,
77,Heinkel He 70,
78,Short S.23,
79,Himmelslaus,
80,Dornier Wal,
81,Dornier Do 26,
82,Douglas DC-6,
83,A.B.C. Robin,
84,McDonnell Douglas MD-11,
85,Convair CV 110,
86,Convair CV 240,
87,Piper J-3,
88,Convair CV 340,
89,Gulfstream IV,
90,Avro Canada C-102,
91,Piper PA-28,
92,Boeing 2707,
93,Douglas DC-1,
94,Douglas DC-2,
95,Iljuschin Il-62,
96,Martin JRM,
97,Lissunow Li-2,
98,Antonow An-70,
99,Antonow An-38,
100,Ayres LM200 Loadmaster,
101,Gulfstream V,
102,Schleicher K 7,
103,Schempp-Hirth Discus,
104,Airbus A350,
105,Douglas DC-5,
106,Scheibe SF 25,
107,Dornier Do 27,
108,Avro 510,
109,Avro 514,
110,Antonow An-24,
111,Antonow An-3,
112,DG-200,
113,Antonow An-4,
114,Antonow An-6,
115,Lockheed Super Constellation,
116,Focke-Wulf Fw 200,
117,Avro Curtiss-type,
118,Burga Monoplane,
119,Antonow An-14,
120,Dassault Mercure,
121,Jakowlew Jak-16,
122,Douglas DC-7,
123,DFS Kranich,
124,Jakowlew Jak-12,
125,Tupolew Tu-114,
