airport_id,name,city,country,latitude,longitude,geolocation
1,A CORUNA,A CORUNA.1,SPAIN,43.30194400,-8.37722200,AAAAAAEBAAAAmZzaGaamRUDWqfI9I8EgwA==
2,A R S SPORT STRIP,BELLE PLAINE,UNITED STATES,44.666667,-93.783611,AAAAAAEBAAAARSkhWFVVRkBLcsCuJnJXwA==
3,A. BOUSSOUF AIN BOUCHEKIF,TIARET,ALGERIA,35.341389,1.466944,AAAAAAEBAAAAaRt/orKrQUDJA5FFmnj3Pw==
4,A.T.D. YILMA INTL,DIRE DAWA,ETHIOPIA,9.614167,41.86,AAAAAAEBAAAAm5DWGHQ6I0CuR+F6FO5EQA==
5,A-306,CHUNCHON,KOREA,37.885,127.715,AAAAAAEBAAAA4XoUrkfxQkD2KFyPwu1fQA==
6,A-511 AAF,PYONGTAEK,KOREA,36.96,127.033333,AAAAAAEBAAAAexSuR+F6QkAqOLwgIsJfQA==
7,AALBORG,AALBORG,DENMARK,57.092778,9.849167,AAAAAAEBAAAA5+RFJuCLTEBTr1sExrIjQA==
9,AARHUS,AARHUS,DENMARK,56.3,10.618889,AAAAAAEBAAAAZmZmZmYmTEBStd0E3zwlQA==
10,AARS,AARS,DENMARK,56.846944,9.458611,AAAAAAEBAAAAj8U2qWhsTED1K50Pz+oiQA==
11,AASIAAT,AASIAAT,GREENLAND,68.721944,-52.784722,AAAAAAEBAAAAx2KbVDQuUUDSOT/FcWRKwA==
12,AAVAHELUKKA,AAVAHELUKKA,FINLAND,67.603611,23.971667,AAAAAAEBAAAAYCAIkKHmUEA5miMrv/g3QA==
13,ABA SEGUD,JIMMA,ETHIOPIA,7.666667,36.833333,AAAAAAEBAAAALEoJwaqqHkC71t6nqmpCQA==
14,ABA,ABA,CONGO,3.9,30.25,AAAAAAEBAAAAMzMzMzMzD0AAAAAAAEA+QA==
15,ABADAN,ABADAN,IRAN,30.371111,48.228333,AAAAAAEBAAAAlC9oIQFfPkB9zAcEOh1IQA==
17,ABAKAN,ABAKAN,RUSSIA,53.741667,91.385,AAAAAAEBAAAA38K68e7eSkBxPQrXo9hWQA==
18,ABARE,ABARE,BRAZIL,-8.738611,-39.125833,AAAAAAEBAAAAhe6SOCt6IcD44LVLG5BDwA==
22,ABBEVILLE,ABBEVILLE,FRANCE,50.143056,1.8325,AAAAAAEBAAAAkL+0qE8SSUBSuB6F61H9Pw==
23,ABBEYSHRULE,ABBEYSHRULE,IRELAND,53.591944,-7.645833,AAAAAAEBAAAAHogs0sTLSkDUtfY+VZUewA==
24,ABBOTSFORD,ABBOTSFORD,CANADA,49.025278,-122.363333,AAAAAAEBAAAAdqc7TzyDSECvIw7ZQJdewA==
25,ABBS,ABBS,YEMEN,16.008333,43.177778,AAAAAAEBAAAAQnqKHCICMEBi+fNtwZZFQA==
26,ABDULRACHMAN SALEH AERO,MALANG,INDONESIA,-7.926667,112.713333,AAAAAAEBAAAANiGtMei0H8AWinQ/py1cQA==
27,ABECHE,ABECHE,CHAD,13.847222,20.848889,AAAAAAEBAAAAR+f8FMexK0Ak7xzKUNk0QA==
28,ABEL SANTA MARIA,SANTA CLARA,CUBA,22.493056,-79.938889,AAAAAAEBAAAAuRgD6zh+NkC/ZOPBFvxTwA==
29,ABENGOUROU,ABENGOUROU,IVORY COAST,6.716667,-3.466667,AAAAAAEBAAAAX3089N3dGkC++njou7sLwA==
31,ABERDEEN REGL,ABERDEEN,UNITED STATES,45.449167,-98.421944,AAAAAAEBAAAAorjjTX65RkCUL2ghAZtYwA==
